<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000001FAD2EBBCA0>
[-42.93824768 -43.65039825 -43.26195145]
[-43.7151413 -43.7151413 -44.2978096]
[-45.0746994  -45.26892471 -44.81573486]
[-44.16832733 -44.42729187 -44.2978096 ]
[-43.65039825 -43.52091599 -44.16832733]
[-43.58565521 -44.75099564 -43.97410583]
[-44.55677032 -44.42729187 -44.88047791]
[-43.39143372 -43.65039825 -43.26195145]
[-43.65039825 -43.7151413  -43.45617676]
[-43.19721222 -43.06772995 -43.26195145]
[-43.26195145 -43.58565521 -45.13944244]
[-42.67928314 -43.84461975 -43.7151413 ]
[-43.06772995 -45.65737152 -45.59262848]
[-40.86653137 -43.06772995 -42.48506165]
[-42.22609711 -42.35557556 -42.4203186 ]
[-42.35557556 -42.29083633 -42.6145401 ]
[-42.80876541 -42.4203186  -41.90238953]
[-43.32669067 -43.52091599 -42.93824768]
[-43.65039825 -43.52091599 -44.16832733]
[-43.65039825 -44.94522095 -44.03884506]
[-40.80179214 -41.57868576 -41.64342499]
[-43.26195145 -43.52091599 -43.26195145]
[-44.16832733 -43.19721222 -43.45617676]
[-43.7151413  -43.26195145 -44.23307037]
[-41.06075668 -41.12549591 -42.74402618]
[-42.29083633 -43.26195145 -43.45617676]
[-43.32669067 -45.78684998 -45.65737152]
[-39.24800873 -40.99601746 -40.67230988]
[-40.99601746 -40.73705292 -41.38446045]
[-43.39143372 -43.19721222 -42.93824768]
[-43.77988052 -43.39143372 -42.4203186 ]
[-42.29083633 -42.54980087 -41.44920349]
[-42.74402618 -42.74402618 -43.19721222]
[-43.97410583 -44.81573486 -44.42729187]
[-40.80179214 -41.31972122 -41.64342499]
[-41.90238953 -41.8376503  -41.64342499]
[-42.48506165 -41.64342499 -41.44920349]
[-43.65039825 -42.87350464 -42.74402618]
[-41.77291107 -41.25498199 -42.0318718 ]
[-40.47808838 -41.06075668 -42.48506165]
[-42.74402618 -44.10358429 -43.90936279]
[-43.00299072 -44.88047791 -44.81573486]
[-38.98904419 -40.28386688 -39.63645172]
[-40.80179214 -40.93127441 -40.60757065]
[-42.0318718  -41.90238953 -41.64342499]
[-42.0318718  -41.70816803 -40.99601746]
[-42.74402618 -43.00299072 -41.77291107]
