tm1,tm2,steps
15,28,61705
33,24,61762
7,12,61781
4,13,61798
12,12,61822
3,8,61833
17,18,61868
89,97,62054
29,42,62125
12,12,62149
13,5,62167
13,16,62196
1,10,62207
18,8,62233
38,40,62311
61,65,62437
10,13,62460
7,10,62477
36,31,62544
2,10,62556
19,22,62597
23,27,62647
85,92,62824
20,21,62865
6,16,62887
30,30,62947
18,18,62983
31,36,63050
19,23,63092
0,9,63101
2,10,63113
9,0,63122
15,12,63149
8,6,63163
2,9,63174
0,9,63183
11,2,63196
3,11,63210
19,19,63248
0,10,63258
38,37,63333
89,88,63510
31,34,63575
9,0,63584
47,53,63684
11,0,63695
10,0,63705
15,10,63730
16,8,63754
62,63,63879
7,9,63895
8,6,63909
30,24,63963
28,26,64017
15,8,64040
3,10,64053
27,25,64105
9,1,64115
8,5,64128
12,11,64151
5,14,64170
1,8,64179
1,9,64189
24,27,64240
53,55,64348
8,17,64373
11,12,64396
16,19,64431
20,21,64472
17,19,64508
4,13,64525
2,11,64538
11,4,64553
19,28,64600
30,35,64665
23,20,64708
18,22,64748
19,18,64785
8,2,64795
0,9,64804
8,1,64813
5,7,64825
2,11,64838
17,9,64864
16,17,64897
10,0,64907
27,33,64967
3,8,64978
20,21,65019
70,81,65170
15,26,65211
18,7,65236
9,0,65245
10,0,65255
8,0,65263
8,0,65271
5,9,65285
9,2,65296
13,4,65313
5,7,65325
9,0,65334
8,2,65344
28,32,65404
30,30,65464
18,22,65504
29,27,65560
6,14,65580
24,28,65632
5,13,65650
11,13,65674
11,1,65686
10,0,65696
27,28,65751
27,17,65795
33,24,65852
126,124,66102
21,23,66146
57,54,66257
7,7,66271
26,29,66326
12,11,66349
12,12,66373
15,16,66404
12,12,66428
5,15,66448
14,14,66476
25,23,66524
11,2,66537
38,46,66621
15,18,66654
54,71,66779
14,23,66816
24,39,66879
39,41,66959
1,9,66969
1,10,66980
15,20,67015
10,2,67027
14,13,67054
22,23,67099
15,16,67130
15,22,67167
10,9,67186
40,41,67267
4,12,67283
7,5,67295
19,9,67323
8,8,67339
14,12,67365
11,24,67400
14,14,67428
28,32,67488
15,6,67509
41,39,67589
49,42,67680
14,4,67698
18,8,67724
11,13,67748
19,19,67786
44,37,67867
27,37,67931
6,7,67944
3,11,67958
4,13,67975
44,41,68060
9,17,68086
2,9,68097
55,51,68203
11,19,68233
0,8,68241
12,26,68279
8,8,68295
1,8,68304
7,15,68326
