tm1,tm2,steps
69,69,40137
31,29,40197
34,29,40260
21,22,40303
32,31,40366
54,46,40466
19,18,40503
15,13,40531
26,26,40583
4,11,40598
38,40,40676
8,10,40694
36,42,40772
17,18,40807
19,17,40843
2,9,40854
20,20,40894
8,11,40913
10,15,40938
23,31,40992
8,10,41010
8,11,41029
32,34,41095
26,27,41148
7,9,41164
20,21,41205
7,8,41220
0,8,41228
8,9,41245
3,8,41256
0,9,41265
3,7,41275
6,12,41293
4,14,41311
66,53,41430
17,18,41465
18,19,41502
16,15,41533
58,65,41656
63,74,41793
6,8,41807
16,16,41839
26,22,41887
10,13,41910
10,10,41930
45,44,42019
82,76,42177
11,12,42200
47,50,42297
104,99,42500
18,18,42536
20,20,42576
23,24,42623
26,28,42677
24,25,42726
37,37,42800
8,16,42824
17,17,42858
17,17,42892
21,20,42933
11,11,42955
20,20,42995
16,14,43025
14,14,43053
7,13,43073
33,33,43139
26,25,43190
15,22,43227
11,8,43246
24,24,43294
15,12,43321
13,12,43346
24,24,43394
14,5,43413
27,27,43467
19,8,43494
13,12,43519
11,10,43540
41,37,43618
9,6,43633
17,12,43662
20,18,43700
54,54,43808
20,20,43848
30,17,43895
16,15,43926
12,7,43945
24,22,43991
24,14,44029
14,14,44057
21,20,44098
11,11,44120
15,16,44151
18,30,44199
78,77,44354
90,96,44540
15,14,44569
15,16,44600
16,17,44633
9,11,44653
10,11,44674
56,51,44781
65,66,44912
7,8,44927
10,11,44948
17,17,44982
67,63,45112
53,53,45218
7,9,45234
20,20,45274
13,12,45299
10,11,45320
10,10,45340
13,14,45367
10,17,45394
14,13,45421
16,17,45454
1,9,45464
4,10,45478
52,52,45582
9,18,45609
11,3,45623
45,45,45713
18,18,45749
32,32,45813
28,27,45868
16,13,45897
14,12,45923
22,22,45967
15,14,45996
11,13,46020
18,18,46056
162,153,46371
102,86,46559
8,10,46577
36,35,46648
21,21,46690
47,46,46783
121,116,47020
10,10,47040
18,16,47074
30,31,47135
41,41,47217
9,9,47235
22,23,47280
45,45,47370
66,65,47501
40,39,47580
20,19,47619
18,16,47653
19,19,47691
15,18,47724
9,9,47742
55,55,47852
10,11,47873
28,31,47932
7,9,47948
17,19,47984
15,15,48014
34,33,48081
11,14,48106
11,13,48130
18,19,48167
25,25,48217
39,40,48296
36,35,48367
